Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Hematoxylin OD mean	Nucleus: Hematoxylin OD sum	Nucleus: Hematoxylin OD std dev	Nucleus: Hematoxylin OD max	Nucleus: Hematoxylin OD min	Nucleus: Hematoxylin OD range	Nucleus: Eosin OD mean	Nucleus: Eosin OD sum	Nucleus: Eosin OD std dev	Nucleus: Eosin OD max	Nucleus: Eosin OD min	Nucleus: Eosin OD range
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	447.25	207.200000000001	27.2476	23.7199	0.6086	8.9336	4.1679	0.9044	0.5859	65.039	0.0757	0.76	0.4509	0.3091	0.0562	6.2389	0.025	0.1016	-0.0427	0.1443
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	603.45	206.200000000001	41.6145	26.7862	0.7288	9.6953	6.1363	0.7878	0.6544	111.2485	0.1213	0.8808	0.3607	0.52	0.1025	17.4241	0.0518	0.3019	-0.0261	0.3279
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	617.85	206	29.4769	21.0922	0.8326	7.3771	5.4319	0.67	0.5125	62.0176	0.0835	0.7232	0.357	0.3661	0.0534	6.4609	0.039	0.173	-0.0616	0.2346
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	252.55	204.900000000001	13.1284	13.0625	0.9669	4.8343	3.644	0.6177	0.6504	36.4199	0.1627	0.9258	0.2937	0.6321	0.0199	1.117	0.0384	0.1006	-0.0444	0.145
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	232.85	207.5	22.5412	19.8133	0.7216	8.0615	3.6747	0.9073	0.6174	59.2732	0.114	0.851	0.4089	0.4421	0.0759	7.2844	0.0239	0.1193	0.0305	0.0887
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	238.85	208.800000000001	39.8806	27.0197	0.6864	10.2305	5.4498	0.8833	0.5498	90.1741	0.0691	0.7112	0.3674	0.3437	0.0624	10.2351	0.0236	0.1262	-0.008	0.1342
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	348.95	206.300000000001	25.5136	18.7176	0.9151	6.6993	4.7994	0.7061	0.6146	65.1461	0.0947	0.8593	0.3478	0.5114	0.058	6.1505	0.0267	0.1246	-0.0556	0.1802
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	708.15	208.900000000001	31.2109	29.3276	0.456	12.4378	4.6579	0.9489	0.4716	61.7852	0.1275	0.7534	0.2157	0.5377	0.1114	14.5915	0.065	0.3028	-0.0092	0.3121
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	557.75	206.800000000001	22.0458	17.3912	0.916	6.698	4.1255	0.773	0.6849	62.329	0.1633	1.058	0.3402	0.7177	0.101	9.1951	0.0371	0.1824	0.0269	0.1555
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	325.55	208.300000000001	33.9356	23.2577	0.7884	7.9219	6.5161	0.4127	0.7159	103.0884	0.108	0.9616	0.5198	0.4418	0.065	9.3619	0.0278	0.1835	0.0077	0.1758
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	645.35	207.900000000001	27.4953	20.7909	0.7993	7.2385	5.8711	0.6007	0.5882	68.8246	0.1038	0.805	0.3883	0.4167	0.0736	8.609	0.0366	0.1757	0.0205	0.1552
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	768.65	208.200000000001	31.2109	23.2525	0.7254	8.3272	5.6754	0.7722	0.5215	68.8439	0.0794	0.6747	0.3567	0.3181	0.0802	10.5863	0.0391	0.161	-0.0056	0.1666
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	226.15	208.700000000001	26.2568	19.4865	0.8689	7.4674	4.8967	0.7241	0.6592	70.537	0.1089	0.9244	0.4726	0.4518	0.0447	4.7856	0.031	0.165	-0.0347	0.1998
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	304.75	210	46.0732	27.5848	0.7609	10.8888	5.6066	0.8681	0.694	131.1668	0.1158	0.9824	0.416	0.5664	0.0507	9.5884	0.0324	0.1653	-0.0162	0.1815
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	658.15	211.900000000001	46.8163	38.9523	0.3877	15.9948	5.8299	0.9617	0.5354	102.7886	0.091	0.8006	0.2661	0.5345	0.0973	18.6825	0.0443	0.319	0.0184	0.3006
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	729.85	210.6	40.376	28.9869	0.6038	10.633	5.6651	0.8657	0.7248	121.0337	0.1394	1.0678	0.3443	0.7235	0.1382	23.0714	0.0699	0.3433	0.0023	0.341
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	499.65	209.800000000001	19.321	17.6977	0.7752	6.305	4.2651	0.7605	0.6339	52.6149	0.1244	0.8703	0.3707	0.4996	0.1106	9.1789	0.071	0.3663	0.0146	0.3517
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	678.35	210.5	23.7797	19.4632	0.7888	7.2126	4.2937	0.8084	0.5232	51.2743	0.0891	0.7238	0.3549	0.3688	0.0758	7.4297	0.0341	0.1471	-0.0191	0.1662
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	744.65	210.6	41.1191	33.5114	0.4601	13.1075	6.3785	0.9249	0.5181	87.5592	0.1452	0.8856	0.2073	0.6783	0.1308	22.104	0.0684	0.3247	0.0269	0.2978
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	666.75	211	29.4769	22.1233	0.7568	8.3912	4.7798	0.856	0.656	82.003	0.1405	0.9501	0.397	0.5531	0.1017	12.7129	0.0449	0.2076	0.0075	0.2001
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	247.85	212.900000000001	50.7796	29.2842	0.7441	11.4209	5.8654	0.8568	0.7121	148.8231	0.0969	0.9856	0.4403	0.5453	0.0441	9.2145	0.0264	0.1412	-0.0257	0.1669
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	343.85	211.700000000001	30.7155	20.7041	0.9004	7.0675	5.9934	0.5038	0.6053	77.4769	0.09	0.763	0.4334	0.3296	0.0611	7.8184	0.0162	0.104	0.0122	0.0918
