Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Hematoxylin OD mean	Nucleus: Hematoxylin OD sum	Nucleus: Hematoxylin OD std dev	Nucleus: Hematoxylin OD max	Nucleus: Hematoxylin OD min	Nucleus: Hematoxylin OD range	Nucleus: Eosin OD mean	Nucleus: Eosin OD sum	Nucleus: Eosin OD std dev	Nucleus: Eosin OD max	Nucleus: Eosin OD min	Nucleus: Eosin OD range
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	403.65	371.800000000001	41.3668	32.7468	0.4848	10.2412	7.2115	0.7772	0.4765	81.9606	0.0527	0.5882	0.3447	0.2435	0.0442	7.595	0.024	0.1109	-0.0126	0.1236
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	488.45	370.5	31.2109	22.7584	0.7572	9.3261	4.2272	0.9001	0.6725	85.4089	0.1216	0.9116	0.3917	0.5199	0.101	12.831	0.0405	0.2141	0.0219	0.1923
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	511.05	369.200000000001	22.0458	17.2295	0.9332	6.2262	4.6605	0.57	0.84	78.1226	0.1383	1.1092	0.5577	0.5515	0.1051	9.7715	0.0404	0.1771	0.0166	0.1605
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	595.55	376.200000000001	202.6229	70.9546	0.5058	23.9672	15.6194	0.7434	0.6762	553.8463	0.1639	1.1583	0.1515	1.0068	0.1023	83.7958	0.0862	0.608	-0.0718	0.6798
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	288.05	371.700000000001	41.8622	28.896	0.63	11.5968	5.7155	0.8998	0.4782	82.244	0.0886	0.731	0.297	0.434	0.0664	11.4129	0.0249	0.1454	0.0029	0.1425
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	295.75	370.200000000001	19.8164	18.4385	0.7325	6.7474	4.1552	0.8222	0.5051	41.9236	0.0628	0.7194	0.4251	0.2942	0.0472	3.918	0.0263	0.119	-0.0333	0.1524
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	437.85	370.300000000001	20.8072	18.1523	0.7935	6.7698	4.5049	0.6628	0.4078	36.2957	0.0562	0.5177	0.2761	0.2416	0.0543	4.8348	0.0274	0.0979	-0.0062	0.1042
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	650.45	370.5	20.8072	18.0691	0.8009	7.2368	3.758	0.8631	0.4527	39.8414	0.0654	0.6091	0.3046	0.3045	0.0783	6.8921	0.0293	0.1536	-0.0119	0.1655
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	248.65	372.900000000001	38.1466	27.1272	0.6514	11.2796	4.2105	0.9392	0.6564	104.3687	0.133	0.9844	0.3417	0.6427	0.0547	8.7047	0.0391	0.1658	-0.0575	0.2233
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	522.75	373.400000000001	27.743	23.2503	0.6449	9.6188	4.0808	0.9273	0.4784	55.4996	0.1135	0.7076	0.215	0.4927	0.0883	10.2476	0.0325	0.1437	0.0184	0.1253
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	237.25	372.900000000001	41.1191	23.7767	0.914	9.0099	5.6246	0.7705	0.5153	86.5708	0.1033	0.8738	0.3128	0.561	0.0473	7.9469	0.0246	0.129	-0.0243	0.1533
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	795.95	373.900000000001	31.4586	23.6945	0.7041	9.2802	5.5508	0.8471	0.7198	93.5761	0.1439	1.0421	0.3306	0.7115	0.1209	15.7222	0.0532	0.2398	-0.0226	0.2624
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	417.55	375.400000000001	45.5778	28.2688	0.7167	11.7886	5.2277	0.9133	0.5135	96.0267	0.0761	0.6672	0.3152	0.352	0.0565	10.5562	0.025	0.1347	-0.0016	0.1363
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	675.15	373.800000000001	36.9081	27.0957	0.6317	10.2365	5.8417	0.812	0.4932	74.9656	0.1323	0.7507	0.1443	0.6064	0.1236	18.7914	0.0744	0.3333	0.0082	0.3251
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	710.15	375	53.2566	34.9033	0.5494	11.6585	7.5044	0.7557	0.7867	170.7182	0.1394	1.0086	0.378	0.6306	0.1221	26.4895	0.0499	0.2289	-0.0295	0.2584
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	450.05	373.200000000001	25.0182	19.2957	0.8444	7.2696	4.4793	0.6744	0.5301	55.1352	0.0891	0.708	0.3594	0.3486	0.0597	6.2116	0.026	0.1308	0.0032	0.1276
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	462.95	374.800000000001	34.6787	21.8953	0.909	7.4225	6.4473	0.3896	0.5165	73.3439	0.1001	0.7271	0.3014	0.4257	0.0694	9.861	0.0299	0.1571	-0.0141	0.1712
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	334.65	374.200000000001	17.5871	15.0129	0.9806	5.0943	4.4515	0.3428	0.4976	37.3233	0.0843	0.6527	0.3132	0.3394	0.0615	4.6132	0.0266	0.1246	0.0013	0.1233
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	636.35	377	47.8071	31.7167	0.5972	11.6573	7.1009	0.7811	0.5501	108.9238	0.0929	0.7854	0.341	0.4444	0.0788	15.6123	0.0359	0.197	-0.023	0.2199
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	684.15	376.400000000001	25.2659	22.5161	0.6263	8.5367	4.1638	0.902	0.435	46.9816	0.1044	0.6739	0.247	0.4269	0.0816	8.8157	0.0355	0.1958	0.0146	0.1812
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	695.65	377.400000000001	34.6787	24.1322	0.7483	10.0454	4.4793	0.894	0.3759	53.3808	0.091	0.564	0.1928	0.3713	0.0707	10.0327	0.0404	0.1524	-0.0194	0.1718
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	410.45	377.900000000001	44.8347	32.0081	0.5499	11.1107	6.6094	0.8532	0.6703	121.995	0.1203	0.8963	0.3483	0.548	0.0793	14.4249	0.0283	0.1786	-0.0018	0.1804
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	445.15	375.300000000001	13.6238	13.572	0.9294	4.7544	3.8156	0.6034	0.381	22.0969	0.0782	0.5361	0.2146	0.3215	0.0537	3.1146	0.0201	0.1114	0.0014	0.1101
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	724.15	377.300000000001	29.2292	21.6698	0.7822	8.3415	4.5724	0.8385	0.6788	80.0976	0.1143	0.9363	0.4545	0.4817	0.0892	10.5251	0.0377	0.2098	-0.0011	0.2109
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	833.05	376.5	26.2568	20.6164	0.7763	7.2734	5.4125	0.6531	0.7207	77.1187	0.1132	0.9409	0.4787	0.4622	0.0677	7.239	0.0309	0.1583	-0.0115	0.1699
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	299.55	376.800000000001	35.4219	24.5686	0.7374	8.9406	6.1839	0.7464	0.503	72.936	0.0909	0.6677	0.2809	0.3868	0.0469	6.7968	0.0227	0.0882	-0.0343	0.1225
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	374.25	376.5	19.8164	17.7803	0.7877	6.4983	3.9646	0.8057	0.6518	55.4028	0.1316	0.9351	0.3764	0.5587	0.061	5.188	0.0257	0.0971	-0.0196	0.1167
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	477.25	377.5	31.2109	22.2074	0.7953	7.6929	5.5578	0.6889	0.6861	89.8793	0.1236	0.9809	0.4341	0.5468	0.0731	9.572	0.0391	0.1635	-0.0322	0.1957
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	534.55	376.700000000001	26.7522	19.7566	0.8613	7.5697	4.6521	0.8079	0.5854	64.3961	0.1118	0.8289	0.3901	0.4389	0.0551	6.0576	0.0292	0.1043	-0.0109	0.1152
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	364.75	380.5	51.7704	42.6934	0.3569	13.4731	6.7461	0.9029	0.6756	143.2231	0.2116	1.2028	0.1961	1.0068	0.1555	32.9604	0.1285	0.643	-0.0962	0.7392
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	508.25	380.400000000001	88.1831	48.5551	0.47	13.1229	11.4278	0.5448	0.7183	256.4238	0.1107	1.0497	0.4412	0.6085	0.0786	28.0467	0.0309	0.1691	-0.0306	0.1997
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	551.45	378.300000000001	37.1558	27.9636	0.5971	9.1307	7.5109	0.6496	0.6264	97.7202	0.0888	0.8153	0.4059	0.4095	0.0673	10.5006	0.0253	0.1219	-0.0058	0.1277
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	325.05	380	57.2199	44.1324	0.3692	17.4299	6.9835	0.932	0.5878	139.3064	0.0957	0.8728	0.3524	0.5204	0.0591	14.0014	0.0318	0.1375	-0.0474	0.1849
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	649.75	379.6	42.1099	27.3593	0.7069	9.9012	6.5131	0.7774	0.6364	113.9149	0.1313	0.8728	0.336	0.5369	0.0841	15.0614	0.0401	0.1744	-0.03	0.2044
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	342.85	378.900000000001	33.4402	22.7023	0.8153	8.9132	5.3945	0.7919	0.8182	114.5515	0.1704	1.1385	0.3727	0.7658	0.0818	11.446	0.0367	0.1794	0.0029	0.1765
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	424.55	380.200000000001	28.7338	22.762	0.6969	8.0765	5.8806	0.7528	0.3928	46.7438	0.0959	0.6966	0.1892	0.5074	0.1109	13.2002	0.0799	0.4739	-0.0277	0.5016
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	789.15	380.1	25.0182	20.4365	0.7528	7.7332	4.5113	0.8721	0.5513	57.8887	0.1302	0.8147	0.3302	0.4845	0.1004	10.5384	0.0487	0.1906	-0.063	0.2536
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	609.15	379.6	21.7981	17.7544	0.869	6.9464	3.9186	0.8357	0.5058	45.5203	0.1309	0.7429	0.2107	0.5322	0.1206	10.8577	0.0888	0.3502	-0.0257	0.3758
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	717.45	379	12.3853	13.5307	0.8501	5.3106	2.8736	0.8278	0.6267	33.2169	0.0811	0.8053	0.4122	0.3931	0.1168	6.1884	0.0626	0.2328	-0.0335	0.2664
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	483.25	381.700000000001	32.4494	24.8158	0.6622	9.4929	4.9727	0.8875	0.7342	98.3858	0.122	0.9714	0.4485	0.5229	0.1231	16.5002	0.081	0.3751	-0.0084	0.3835
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	667.75	380.700000000001	23.532	19.8588	0.7498	7.5551	4.034	0.8657	0.497	49.1992	0.1108	0.7119	0.3046	0.4073	0.0844	8.3575	0.0631	0.3069	-0.033	0.34
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	247.25	380.800000000001	16.3485	15.1642	0.8934	5.9023	3.4839	0.7636	0.6413	44.8932	0.1013	0.838	0.3943	0.4437	0.0387	2.7097	0.034	0.1124	-0.0356	0.148
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	314.25	381.800000000001	26.7522	22.8386	0.6445	9.0266	4.4169	0.8759	0.5692	64.8902	0.0655	0.7734	0.434	0.3394	0.0507	5.7757	0.0227	0.148	0.0074	0.1406
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	305.85	382.200000000001	26.9999	22.7486	0.6556	8.0158	5.1537	0.7467	0.4998	55.4813	0.0608	0.6441	0.346	0.2981	0.0432	4.7946	0.0202	0.1224	-0.0044	0.1269
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	453.35	384.300000000001	61.1832	31.6389	0.7681	11.5656	7.2764	0.8251	0.563	140.1973	0.1239	0.8668	0.2815	0.5853	0.0768	19.1134	0.0295	0.1574	-0.0214	0.1788
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	521.25	382.800000000001	29.2292	21.6037	0.787	8.5944	4.5168	0.8365	0.4399	53.2222	0.0618	0.5578	0.273	0.2848	0.0608	7.3565	0.0271	0.1393	-1e-04	0.1394
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	819.85	382.900000000001	23.0366	19.7965	0.7387	8.4044	3.4605	0.916	0.4388	41.6826	0.084	0.5598	0.263	0.2968	0.0526	4.9948	0.0296	0.1231	-0.0036	0.1266
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	336.45	383.300000000001	21.3027	20.0815	0.6638	8.0361	4.0482	0.8852	0.5942	54.6701	0.0751	0.7522	0.4175	0.3348	0.0537	4.9429	0.0179	0.1017	0.0163	0.0855
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	489.15	387.900000000001	55.9814	40.6539	0.4256	18.1364	4.5433	0.9748	0.7326	168.496	0.1319	1.0397	0.3741	0.6656	0.0821	18.8939	0.0431	0.1978	-0.0135	0.2113
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	544.95	382.300000000001	34.9264	22.3144	0.8814	8.3733	5.9672	0.669	0.6276	88.4974	0.0747	0.7887	0.405	0.3837	0.0733	10.341	0.0299	0.1298	-0.0217	0.1515
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	283.35	385.6	79.2657	39.7961	0.6289	14.0501	8.2873	0.811	0.5415	172.7404	0.0782	0.7389	0.2907	0.4481	0.0549	17.5239	0.0228	0.1534	-0.0086	0.162
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	467.75	382.800000000001	27.2476	20.2816	0.8324	7.8434	4.5421	0.8207	0.569	64.8618	0.0657	0.6873	0.4181	0.2692	0.0588	6.7018	0.0188	0.1155	-0.0017	0.1173
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	616.35	383.800000000001	26.0091	20.798	0.7556	8.7015	4.2138	0.8902	0.631	68.7841	0.1144	0.8653	0.2968	0.5685	0.1066	11.6243	0.0538	0.2243	-0.0256	0.2499
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	374.05	384.400000000001	31.2109	21.425	0.8544	8.3593	4.6	0.8178	0.497	64.6139	0.0807	0.6324	0.2966	0.3358	0.0653	8.4877	0.0269	0.1247	-0.0278	0.1525
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	710.15	383.200000000001	36.165	21.6121	0.973	7.6333	5.9217	0.5778	0.7344	106.4945	0.1591	1.0949	0.4723	0.6226	0.1011	14.653	0.0736	0.2737	-0.0817	0.3554
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	567.95	384.5	15.8531	19.1121	0.5454	7.0432	4.0371	0.8728	0.4515	32.9622	0.0653	0.5728	0.3324	0.2405	0.1565	11.4229	0.0794	0.3019	0.0259	0.276
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	814.85	383.400000000001	18.5779	15.4688	0.9756	5.504	4.131	0.6481	0.6481	48.6049	0.1373	0.9071	0.4393	0.4678	0.1044	7.8323	0.0464	0.2095	0.0163	0.1931
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	359.45	384.800000000001	11.3944	14.7518	0.658	5.1678	3.5692	0.5959	0.6001	29.4049	0.0781	0.7163	0.419	0.2973	0.0605	2.9668	0.0253	0.112	0.0165	0.0954
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	387.15	386.700000000001	35.1742	24.572	0.7321	9.6864	4.813	0.8728	0.6875	100.3761	0.1062	0.9258	0.386	0.5398	0.0855	12.4808	0.0397	0.1823	-0.0104	0.1927
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	472.45	386.1	21.7981	19.2353	0.7403	7.3746	4.3035	0.7942	0.5677	52.2309	0.0855	0.7307	0.4137	0.317	0.1021	9.3891	0.0497	0.2367	0.001	0.2358
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	732.55	385.700000000001	20.5595	17.9587	0.8011	7.3683	4.0069	0.839	0.5662	49.2612	0.1185	0.8767	0.3543	0.5223	0.1018	8.8566	0.0474	0.2164	-0.0185	0.2349
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	836.25	386.5	21.3027	19.7873	0.6837	8.4138	3.2828	0.9213	0.8192	75.3627	0.1816	1.1816	0.4146	0.767	0.0468	4.3059	0.0456	0.1305	-0.0354	0.1659
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	208.05	386.900000000001	31.4586	22.1591	0.8051	7.4116	6.2151	0.5168	0.4656	61.4542	0.075	0.6696	0.3403	0.3293	0.0425	5.6144	0.0201	0.0828	-0.0393	0.1222
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	329.35	389.200000000001	68.3667	37.7363	0.6033	12.806	8.3231	0.8054	0.7164	198.438	0.1317	1.1141	0.3789	0.7352	0.0632	17.5167	0.0289	0.1696	-0.0058	0.1754
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	536.95	388.6	53.0089	29.9857	0.7409	11.513	6.1473	0.8383	0.743	161.9803	0.1468	1.0286	0.3763	0.6523	0.1354	29.523	0.05	0.2731	0.014	0.2591
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	581.15	386.6	45.0824	34.3148	0.4811	12.2016	7.1694	0.7447	0.6141	112.9998	0.2296	0.9113	0.0783	0.833	0.1494	27.497	0.1189	0.5736	-0.0017	0.5753
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	346.55	388.800000000001	45.8255	30.4979	0.6191	11.3507	6.1717	0.8694	0.5178	97.8582	0.0889	0.7346	0.3149	0.4197	0.0471	8.8967	0.0244	0.132	-0.0066	0.1386
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	559.65	387.700000000001	37.8989	26.2481	0.6913	8.5046	6.9669	0.617	0.5697	88.8656	0.1647	0.8618	0.191	0.6708	0.1435	22.386	0.1156	0.5391	0.0123	0.5268
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	635.05	390	34.9264	27.357	0.5864	11.5029	4.2549	0.9431	0.53	77.3872	0.1117	0.7575	0.3078	0.4497	0.1066	15.5619	0.0595	0.3076	-0.0282	0.3358
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	794.55	386.700000000001	22.5412	17.6018	0.9143	6.5785	4.399	0.7467	0.4408	40.1145	0.0509	0.5488	0.3134	0.2354	0.066	6.0068	0.0303	0.1409	-0.009	0.1499
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	441.45	389.1	31.954	24.6626	0.6602	10.0948	3.8654	0.9404	0.4704	61.1556	0.1347	0.7891	0.2066	0.5825	0.0772	10.0395	0.0454	0.2204	-0.0623	0.2826
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	644.05	387.200000000001	18.8256	16.6491	0.8534	6.4333	3.5193	0.8469	0.5896	45.991	0.1531	0.896	0.3041	0.5919	0.0998	7.7857	0.0544	0.2428	-0.0319	0.2747
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	717.05	387.800000000001	16.5963	16.01	0.8137	5.948	3.7756	0.8213	0.5566	37.8466	0.0926	0.7042	0.3732	0.331	0.1017	6.9166	0.0473	0.1681	-0.0052	0.1732
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	802.25	388.800000000001	22.7889	21.2468	0.6344	8.7549	3.8489	0.9268	0.7857	76.2137	0.1559	1.0508	0.4347	0.6162	0.1409	13.6675	0.0885	0.3667	-0.0542	0.4209
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	274.55	388.1	17.0917	15.74	0.8669	5.9645	3.783	0.7651	0.4896	33.2935	0.1051	0.7691	0.297	0.472	0.0587	3.9895	0.0306	0.1026	-0.023	0.1257
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	380.55	387.6	16.5963	14.8616	0.9443	5.3453	4.1233	0.6135	0.4885	34.6819	0.0836	0.6412	0.2669	0.3743	0.0626	4.4472	0.0271	0.122	-0.0285	0.1505
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	501.55	388.300000000001	21.3027	18.1209	0.8152	7.2845	3.7526	0.8481	0.5017	45.6591	0.0907	0.766	0.3486	0.4174	0.0655	5.9592	0.0263	0.1251	0.0051	0.12
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	621.25	388.5	18.0825	15.9681	0.8912	5.9175	3.9624	0.719	0.6517	50.8298	0.153	0.9434	0.3163	0.6271	0.0991	7.7298	0.0584	0.1954	-0.0469	0.2422
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	356.05	387.6	9.9082	12.5809	0.7866	4.3803	3.1957	0.6954	0.5244	23.0727	0.0819	0.6838	0.3909	0.2929	0.0607	2.6721	0.0257	0.1096	0.0077	0.1019
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	309.45	390.300000000001	39.1374	28.1589	0.6203	8.7403	7.0224	0.7085	0.5555	89.4386	0.0823	0.725	0.3578	0.3673	0.0508	8.1761	0.0229	0.1255	-0.0052	0.1307
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	427.25	388.900000000001	23.7797	21.4211	0.6512	7.624	4.6305	0.8501	0.4308	43.5113	0.1108	0.6892	0.1921	0.4971	0.0853	8.6162	0.0623	0.3122	-0.0381	0.3503
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	364.85	392.5	36.165	28.5289	0.5584	11.0827	4.4243	0.9372	0.5594	80.5514	0.0855	0.7416	0.3624	0.3792	0.0584	8.4057	0.025	0.12	-0.011	0.131
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	745.05	391.700000000001	30.7155	25.1746	0.609	8.2017	6.2412	0.7349	0.5278	68.6125	0.0871	0.7089	0.3676	0.3413	0.0677	8.799	0.0419	0.1758	-0.0222	0.198
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	221.55	390.900000000001	20.0641	16.868	0.8861	5.7384	4.6863	0.5552	0.5314	46.7618	0.0713	0.6883	0.347	0.3412	0.029	2.5526	0.0177	0.07	-0.0057	0.0757
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	465.75	393.200000000001	37.8989	26.6577	0.6702	10.8713	5.1733	0.8905	0.5408	83.2763	0.0632	0.6738	0.3677	0.3061	0.0694	10.6871	0.0274	0.1579	0.0154	0.1425
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	705.65	391.1	15.8531	14.5035	0.9471	5.1085	4.0064	0.623	0.6884	46.1244	0.1313	0.9197	0.4548	0.4648	0.0902	6.0418	0.0632	0.2116	-0.0506	0.2622
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	809.95	394.6	81.7427	47.7984	0.4496	15.0885	10.6965	0.6862	0.7219	241.1247	0.1738	1.146	0.2201	0.9259	0.1133	37.8375	0.0495	0.2702	-0.0372	0.3074
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	301.25	392.1	21.7981	20.3669	0.6604	7.5666	4.7858	0.8582	0.5504	52.2846	0.1187	0.7542	0.3108	0.4435	0.0481	4.565	0.026	0.105	-0.0167	0.1217
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	390.45	394.800000000001	43.5961	27.5424	0.7222	10.9458	5.4687	0.8799	0.4886	87.9542	0.0842	0.6365	0.2903	0.3463	0.058	10.4314	0.023	0.1189	0.0208	0.0981
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	613.65	392.400000000001	29.7246	20.2107	0.9145	7.2475	5.2386	0.7255	0.6849	82.8702	0.1211	0.9571	0.3992	0.5579	0.0865	10.4708	0.0462	0.1974	-0.072	0.2694
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	604.85	391.800000000001	9.1651	11.7212	0.8383	4.4629	2.9656	0.6751	0.5663	23.7826	0.0777	0.7206	0.4342	0.2863	0.0682	2.8626	0.0336	0.1299	-0.0088	0.1387
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	248.75	391.800000000001	11.8899	13.3522	0.8381	4.9855	3.2968	0.7122	0.5045	27.7464	0.1149	0.7089	0.3162	0.3927	0.0682	3.7525	0.0402	0.1382	-0.0066	0.1449
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	682.75	393.400000000001	19.0733	18.1457	0.7279	6.1401	5.2202	0.2689	0.7041	61.2561	0.1236	1.0106	0.4864	0.5242	0.1142	9.9393	0.0467	0.2411	0.0278	0.2134
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	722.75	393.5	14.3669	15.535	0.7481	6.3326	2.578	0.9178	0.7436	46.106	0.1076	0.923	0.4832	0.4397	0.1322	8.1944	0.059	0.2519	-0.0047	0.2567
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	458.65	394.300000000001	19.0733	16.8961	0.8396	6.6047	3.6545	0.8343	0.603	47.6405	0.1159	0.8185	0.3864	0.4321	0.0692	5.4683	0.0361	0.1683	-0.009	0.1774
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	511.45	396.200000000001	43.3484	26.2821	0.7886	9.681	5.8389	0.7894	0.5963	105.5504	0.0815	0.7753	0.3612	0.414	0.0698	12.3489	0.0296	0.1618	2e-04	0.1616
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	581.85	394.900000000001	22.7889	18.0429	0.8797	6.6353	4.6609	0.7681	0.5701	54.1576	0.1161	0.7727	0.2884	0.4843	0.0927	8.8078	0.0373	0.1672	0.0055	0.1616
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	374.05	395.200000000001	27.9907	21.0807	0.7915	7.2563	5.365	0.7348	0.5485	64.7284	0.0918	0.7954	0.3694	0.426	0.0486	5.7367	0.0257	0.1178	1e-04	0.1177
6069-20-H 2 CD34.svs	Negative	Negative	PathAnnotationObject	Polygon	505.25	395	17.3394	16.1181	0.8387	5.4582	4.4032	0.4675	0.6125	44.7094	0.0763	0.8119	0.4555	0.3564	0.074	5.4053	0.0375	0.1684	-0.012	0.1804
