Centroid X µm,Centroid Y µm,Boundary,VesselID
452.987578294061,198.858294417825,0,4
451.847729650682,198.858294417825,0,4
450.707881007303,198.858294417825,0,4
454.127426937439,199.931335922659,0,4
452.987578294061,199.931335922659,0,4
451.847729650682,199.931335922659,0,4
450.707881007303,199.931335922659,0,4
449.568032363924,199.931335922659,0,4
454.127426937439,201.004377427493,0,4
452.987578294061,201.004377427493,0,4
451.847729650682,201.004377427493,0,4
450.707881007303,201.004377427493,0,4
449.568032363924,201.004377427493,0,4
448.428183720545,201.004377427493,0,4
454.127426937439,202.077418932326,0,4
452.987578294061,202.077418932326,0,4
451.847729650682,202.077418932326,0,4
450.707881007303,202.077418932326,0,4
449.568032363924,202.077418932326,0,4
448.428183720545,202.077418932326,0,4
454.127426937439,203.15046043716,0,4
452.987578294061,203.15046043716,0,4
451.847729650682,203.15046043716,0,4
450.707881007303,203.15046043716,0,4
449.568032363924,203.15046043716,0,4
451.847729650682,204.223501941994,0,4
450.707881007303,204.223501941994,0,4
425.63121085297,216.026958495166,0,4
424.491362209591,216.026958495166,0,4
423.351513566212,216.026958495166,0,4
422.211664922833,216.026958495166,0,4
421.071816279455,216.026958495166,0,4
419.931967636076,216.026958495166,0,4
418.792118992697,216.026958495166,0,4
417.652270349318,216.026958495166,0,4
427.910908139727,217.099999999999,0,4
426.771059496348,217.099999999999,0,4
425.63121085297,217.099999999999,0,4
424.491362209591,217.099999999999,0,4
423.351513566212,217.099999999999,0,4
422.211664922833,217.099999999999,0,4
421.071816279455,217.099999999999,0,4
419.931967636076,217.099999999999,0,4
418.792118992697,217.099999999999,0,4
417.652270349318,217.099999999999,0,4
416.512421705939,217.099999999999,0,4
415.372573062561,217.099999999999,0,4
430.190605426485,218.173041504833,0,4
429.050756783106,218.173041504833,0,4
427.910908139727,218.173041504833,0,4
426.771059496348,218.173041504833,0,4
425.63121085297,218.173041504833,0,4
424.491362209591,218.173041504833,0,4
423.351513566212,218.173041504833,0,4
422.211664922833,218.173041504833,0,4
421.071816279455,218.173041504833,0,4
419.931967636076,218.173041504833,0,4
418.792118992697,218.173041504833,0,4
417.652270349318,218.173041504833,0,4
416.512421705939,218.173041504833,0,4
415.372573062561,218.173041504833,0,4
414.232724419182,218.173041504833,0,4
431.330454069864,219.246083009667,0,4
430.190605426485,219.246083009667,0,4
429.050756783106,219.246083009667,0,4
427.910908139727,219.246083009667,0,4
426.771059496348,219.246083009667,0,4
425.63121085297,219.246083009667,0,4
424.491362209591,219.246083009667,0,4
423.351513566212,219.246083009667,0,4
422.211664922833,219.246083009667,0,4
421.071816279455,219.246083009667,0,4
419.931967636076,219.246083009667,0,4
418.792118992697,219.246083009667,0,4
417.652270349318,219.246083009667,0,4
416.512421705939,219.246083009667,0,4
415.372573062561,219.246083009667,0,4
414.232724419182,219.246083009667,0,4
413.092875775803,219.246083009667,0,4
432.470302713242,220.319124514501,0,4
431.330454069864,220.319124514501,0,4
430.190605426485,220.319124514501,0,4
429.050756783106,220.319124514501,0,4
427.910908139727,220.319124514501,0,4
426.771059496348,220.319124514501,0,4
425.63121085297,220.319124514501,0,4
424.491362209591,220.319124514501,0,4
423.351513566212,220.319124514501,0,4
422.211664922833,220.319124514501,0,4
421.071816279455,220.319124514501,0,4
419.931967636076,220.319124514501,0,4
418.792118992697,220.319124514501,0,4
417.652270349318,220.319124514501,0,4
416.512421705939,220.319124514501,0,4
415.372573062561,220.319124514501,0,4
414.232724419182,220.319124514501,0,4
413.092875775803,220.319124514501,0,4
411.953027132424,220.319124514501,0,4
433.610151356621,221.392166019335,0,4
432.470302713242,221.392166019335,0,4
431.330454069864,221.392166019335,0,4
430.190605426485,221.392166019335,0,4
429.050756783106,221.392166019335,0,4
427.910908139727,221.392166019335,0,4
426.771059496348,221.392166019335,0,4
425.63121085297,221.392166019335,0,4
424.491362209591,221.392166019335,0,4
423.351513566212,221.392166019335,0,4
422.211664922833,221.392166019335,0,4
421.071816279455,221.392166019335,0,4
419.931967636076,221.392166019335,0,4
418.792118992697,221.392166019335,0,4
417.652270349318,221.392166019335,0,4
416.512421705939,221.392166019335,0,4
415.372573062561,221.392166019335,0,4
414.232724419182,221.392166019335,0,4
413.092875775803,221.392166019335,0,4
411.953027132424,221.392166019335,0,4
434.75,222.465207524168,0,4
433.610151356621,222.465207524168,0,4
432.470302713242,222.465207524168,0,4
431.330454069864,222.465207524168,0,4
430.190605426485,222.465207524168,0,4
429.050756783106,222.465207524168,0,4
427.910908139727,222.465207524168,0,4
426.771059496348,222.465207524168,0,4
425.63121085297,222.465207524168,0,4
424.491362209591,222.465207524168,0,4
423.351513566212,222.465207524168,0,4
422.211664922833,222.465207524168,0,4
421.071816279455,222.465207524168,0,4
419.931967636076,222.465207524168,0,4
418.792118992697,222.465207524168,0,4
417.652270349318,222.465207524168,0,4
416.512421705939,222.465207524168,0,4
415.372573062561,222.465207524168,0,4
414.232724419182,222.465207524168,0,4
413.092875775803,222.465207524168,0,4
411.953027132424,222.465207524168,0,4
410.813178489045,222.465207524168,0,4
435.889848643379,223.538249029002,0,4
434.75,223.538249029002,0,4
433.610151356621,223.538249029002,0,4
432.470302713242,223.538249029002,0,4
431.330454069864,223.538249029002,0,4
430.190605426485,223.538249029002,0,4
429.050756783106,223.538249029002,0,4
427.910908139727,223.538249029002,0,4
426.771059496348,223.538249029002,0,4
425.63121085297,223.538249029002,0,4
424.491362209591,223.538249029002,0,4
423.351513566212,223.538249029002,0,4
422.211664922833,223.538249029002,0,4
421.071816279455,223.538249029002,0,4
